FIPS	year	area_sqkm	n_farm_fert_kgsqkm	p_farm_fert_kgsqkm	n_nonfarm_fert_kgsqkm	p_nonfarm_fert_kgsqkm	n_total_fert_kgsqkm	p_total_fert_kgsqkm	n_manure_kgsqkm	p_manure_kgsqkm	n_livestock_dem_kgsqkm	p_livestock_dem_kgsqkm	n_livestock_prod_kgsqkm	p_livestock_prod_kgsqkm	n_livestock_rec_kgsqkm	p_livestock_rec_kgsqkm	n_crop_rem_kgsqkm	p_crop_rem_kgsqkm	n_pasture_rem_kgsqkm	p_pasture_rem_kgsqkm	n_crop_fix_kgsqkm	n_human_food_dem_kgsqkm	p_human_food_dem_kgsqkm	n_human_food_waste_kgsqkm	p_human_food_waste_kgsqkm	p_human_nonfood_dem_kgsqkm	p_human_nonfood_waste_kgsqkm	p_human_total_dem_kgsqkm	p_human_total_waste_kgsqkm	n_point_source_kgsqkm	p_point_source_kgsqkm	n_atm_dep_kgsqkm	p_atm_dep_kgsqkm	n_nat_fix_kgsqkm	n_rock_kgsqkm	n_emis_total_kgsqkm	n_emis_ag_kgsqkm	n_emis_fire_kgsqkm	n_emis_lightning_kgsqkm	n_emis_nonpoint_kgsqkm	n_emis_point_kgsqkm	n_emis_transport_kgsqkm	n_ag_n2o_kgsqkm	n_ag_n2_kgsqkm	n_terr_surplus_kgsqkm	p_terr_surplus_kgsqkm	n_ag_surplus_kgsqkm	p_ag_surplus_kgsqkm	n_leg_ag_surplus_kgsqkm	p_leg_ag_surplus_kgsqkm	n_nue_kgsqkm	p_nue_kgsqkm
10003	1999	1128.817675	2488.522339	468.5468804	852.1987399	109.1070797	3340.721079	577.6539601	253.6776606	67.74945365	342.3624837	97.42824735	88.68482308	29.67879371	121.7569296	51.13722612	1984.89596	308.9435884	47.78638131	10.53509372	1225.462467	2729.094927	281.2593806	2065.498576	224.5680367	219.7338911	219.7338911	500.9932717	444.3019278	1279.5035	35.54176365	1575.346149	13	752.4772743	91.37576461	9996.652246	399.3981704	10.08198758	66.61484855	28.90768521	29.29649722	262.3908665	78.91316267	134.1523765	3811.232747	793.7617531	1982.766506	227.3527456	73706.87939	17969.76571	0.500268351	0.576068805
10003	2000	1128.817675	2343.315541	305.1378515	617.5975232	112.683388	2960.913064	417.8212395	254.2823017	68.35055524	343.5298263	98.26163238	89.24752459	29.91107714	125.3775021	51.87134716	1918.791972	295.6382587	44.14017939	9.731243801	1202.828924	2760.771593	284.5239645	2089.472864	227.1746029	222.2843473	222.2843473	506.8083118	449.4589502	1281.71274	35.6031314	1550.507644	13	739.0041428	91.37576461	9904.963056	399.3981704	10.08198758	66.61484855	28.90768521	29.29649722	262.3908665	75.64171931	128.5909228	3811.232747	652.9924862	1881.634795	77.85014804	75588.51418	18047.61586	0.504888553	0.791559399
10003	2001	1128.817675	1964.156878	201.8182432	784.1425766	136.879501	2748.299455	338.6977442	254.8869428	68.95165683	344.6971689	99.09501742	89.8102261	30.14336058	128.9980745	52.60546819	1852.687983	282.332929	40.49397748	8.927393879	1180.195381	2783.81667	286.8989805	2106.914388	229.0709047	224.1398285	224.1398285	511.0388089	453.2107332	1282.596436	35.62767854	1512.32854	11.4	725.5310113	91.37576461	10165.46422	399.3981704	10.08198758	66.61484855	28.90768521	29.29649722	262.3908665	70.0307573	119.0522874	3811.232747	589.9272052	1546.551219	-11.56302898	77135.0654	18036.05283	0.545030189	1.042704263
10003	2002	1128.817675	2257.104984	221.3546134	538.6450032	85.49299162	2795.749988	306.847605	255.4915839	69.55275843	345.8645116	99.92840246	90.37292761	30.37564401	132.618647	53.33958923	1786.583995	269.0275993	36.84777556	8.123543957	1157.561839	2806.548171	289.2416794	2124.118583	230.9414034	225.9700621	225.9700621	515.2117415	456.9114655	1283.480132	35.65222569	1466.838547	10.8	724.9936851	91.37576461	8371.49384	425.9203871	1.612093654	30.72413279	389.382894	2243.812279	5280.042053	72.75762085	123.6879554	6012.630621	575.0842296	1883.574412	21.87977252	79018.63981	18057.9326	0.486786617	0.924787838
10003	2003	1128.817675	1749.444613	184.6764138	581.9487192	76.6882039	2331.393332	261.3646177	246.9972674	68.40279169	336.4710846	97.95453042	89.47381715	29.55173872	130.5845654	52.10689073	1812.886167	277.8092726	37.92307161	8.360606156	1149.311539	2831.914809	291.8559546	2143.317166	233.0287387	228.0124645	228.0124645	519.8684191	461.0412032	1284.363828	35.67677283	1751.075061	11.6	724.456359	91.37576461	8475.918744	396.2471797	0.778750483	99.38341806	435.9724338	2479.120608	5064.416354	67.42185307	114.6171502	5792.041958	524.59934	1332.867252	-24.7300671	80351.50706	18033.20253	0.576296335	1.097716709
10003	2004	1128.817675	1546.224017	128.5885252	682.9189667	86.62337788	2229.142984	215.2119031	238.5029508	67.25282495	327.0776576	95.98065839	88.57470669	28.72783343	128.5504837	50.87419223	1839.188339	286.5909459	38.99836765	8.597668355	1141.06124	2854.882867	294.223033	2160.700399	234.9187029	229.8617446	229.8617446	524.0847776	464.7804475	1285.247524	35.70131998	1742.205179	11.2	723.9190328	91.37576461	8146.525486	418.1772331	2.566335411	83.48116945	394.3915151	2421.499302	4826.409931	65.13048306	110.7218212	5672.584128	471.8542297	1086.599869	-90.74959572	81438.10693	17942.45294	0.628612944	1.463383221
10003	2005	1128.817675	1686.646163	163.6101242	1164.83293	128.1624156	2851.479094	291.7725399	230.0086343	66.10285821	317.6842306	94.00678635	87.67559624	27.90392814	126.516402	49.64149373	1865.490512	295.3726191	40.0736637	8.834730553	1132.810941	2879.083224	296.7171116	2179.016289	236.9100688	231.8102435	231.8102435	528.5273551	468.7203123	1285.247524	35.70131998	1464.005955	11.6	721.7450884	91.37576461	7878.767079	432.5148859	0.048568919	48.83402103	394.1249928	2493.582679	4509.661932	65.65925644	111.620736	5978.262806	542.8230912	1183.975227	-65.65963668	82622.08216	17876.7933	0.611743391	1.285833373
10003	2006	1128.817675	1596.230322	142.8530077	1206.133666	107.519578	2802.363987	250.3725857	221.5143177	64.95289147	308.2908036	92.03291432	86.77648578	27.08002285	124.4823203	48.40879523	1891.792684	304.1542924	41.14895975	9.071792752	1124.560642	2900.158824	298.8891542	2194.967226	238.644309	233.5071517	233.5071517	532.3963059	472.1514607	1285.247524	35.70131998	1383.844906	11.3	719.571144	91.37576461	6690.530102	435.720191	6.566734536	41.96523394	378.5735129	1625.911772	4201.792658	63.87964995	108.5954049	5825.544865	494.6226455	1050.512597	-96.3483932	83672.59476	17780.44491	0.642962746	1.463646093
10003	2007	1128.817675	1480.53759	122.1029783	1158.233105	113.2273199	2638.770695	235.3302982	213.0200012	63.80292474	298.8973766	90.05904229	85.87737532	26.25611756	122.4482387	47.17609674	1918.094856	312.9359657	42.22425579	9.308854951	1116.310342	2918.758825	300.8060625	2209.044521	240.1748405	235.0047363	235.0047363	535.8107988	475.1795768	1285.247524	35.70131998	1469.681944	11	719.4990058	91.37576461	6389.877439	439.2846787	24.7722534	28.92483346	380.3540611	1774.237416	3742.304197	62.22759578	105.7869128	5695.196425	472.3768341	891.7730781	-127.0300627	84564.36783	17653.41484	0.682628117	1.683303008
10003	2008	1128.817675	1887.836316	130.2708164	866.2231483	75.50466467	2754.059464	205.775481	218.581486	64.14503173	304.6781171	90.78025442	86.09663103	26.6352227	125.246617	47.46243515	2101.880401	341.6288552	40.01178194	8.82108796	1235.393292	2937.479855	302.735444	2223.213417	241.7153311	236.5120657	236.5120657	539.2475097	478.2273968	1285.247524	35.70131998	1245.887914	10.7	719.4268675	91.37576461	5941.930895	434.2663334	6.039434091	49.7310487	384.4829811	1591.066292	3476.344806	65.85378076	111.9514273	5561.269055	417.2190543	1239.930692	-147.2130071	85804.29853	17506.20184	0.628964457	1.757206825
